Date,Index,Open,High,Low,Close,Volume,Currency
10-07-2018,NIFTY 50,10902.75,10956.9,10876.65,10947.25,203062000,INR
11-07-2018,NIFTY 50,10956.4,10976.65,10923,10948.3,229212000,INR
12-07-2018,NIFTY 50,11006.95,11078.3,10999.65,11023.2,256035008,INR
13-07-2018,NIFTY 50,11056.9,11071.35,10999.75,11018.9,241671008,INR
16-07-2018,NIFTY 50,11018.95,11019.5,10926.25,10936.85,216971008,INR
17-07-2018,NIFTY 50,10939.65,11018.5,10925.6,11008.05,217108000,INR
18-07-2018,NIFTY 50,11060.2,11076.2,10956.3,10980.45,232502000,INR
19-07-2018,NIFTY 50,10999.5,11006.5,10935.45,10957.1,222056000,INR
20-07-2018,NIFTY 50,10963.5,11030.25,10946.2,11010.2,193144000,INR
23-07-2018,NIFTY 50,11019.85,11093.4,11010.95,11084.75,236152992,INR
24-07-2018,NIFTY 50,11109,11143.4,11092.5,11134.3,212247008,INR
25-07-2018,NIFTY 50,11148.4,11157.15,11113.25,11132,212332992,INR
26-07-2018,NIFTY 50,11132.95,11185.85,11125.7,11167.3,376656992,INR
27-07-2018,NIFTY 50,11232.75,11283.4,11210.25,11278.35,324343008,INR
30-07-2018,NIFTY 50,11296.65,11328.1,11261.45,11319.55,287436000,INR
31-07-2018,NIFTY 50,11311.05,11366,11267.75,11356.5,264431008,INR
01-08-2018,NIFTY 50,11359.8,11390.55,11313.55,11346.2,278012992,INR
02-08-2018,NIFTY 50,11328.9,11328.9,11234.95,11244.7,216532992,INR
03-08-2018,NIFTY 50,11297.8,11368,11294.55,11360.8,225146000,INR
06-08-2018,NIFTY 50,11401.5,11427.65,11370.6,11387.1,210003008,INR
07-08-2018,NIFTY 50,11423.15,11428.95,11359.7,11389.45,233410000,INR
08-08-2018,NIFTY 50,11412.5,11459.95,11379.3,11450,217048000,INR
09-08-2018,NIFTY 50,11493.25,11495.2,11454.1,11470.7,311520992,INR
10-08-2018,NIFTY 50,11474.95,11478.75,11419.65,11429.5,336424000,INR
13-08-2018,NIFTY 50,11369.6,11406.3,11340.3,11355.75,254467008,INR
14-08-2018,NIFTY 50,11381.7,11452.45,11370.8,11435.1,239842000,INR
16-08-2018,NIFTY 50,11397.15,11449.85,11366.25,11385.05,299609984,INR
17-08-2018,NIFTY 50,11437.15,11486.45,11431.8,11470.75,241986000,INR
20-08-2018,NIFTY 50,11502.1,11565.3,11499.65,11551.75,239843008,INR
21-08-2018,NIFTY 50,11576.2,11581.75,11539.6,11570.9,231064000,INR
23-08-2018,NIFTY 50,11620.7,11620.7,11546.7,11582.75,256164000,INR
24-08-2018,NIFTY 50,11566.6,11604.6,11532,11557.1,225604992,INR
27-08-2018,NIFTY 50,11605.85,11700.95,11595.6,11691.95,205688992,INR
28-08-2018,NIFTY 50,11731.95,11760.2,11710.5,11738.5,249420000,INR
29-08-2018,NIFTY 50,11744.95,11753.2,11678.85,11691.9,259352000,INR
30-08-2018,NIFTY 50,11694.75,11698.8,11639.7,11676.8,323449984,INR
31-08-2018,NIFTY 50,11675.85,11727.65,11640.1,11680.5,357230016,INR
